narK	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	clpP	htpG	FruR	ptsHI_crr	icdA	cpxAR	uhpT	tonB	dnaA	narL	deoR	uppS_cdsA_ecfE	mglBAC	ebgAC	malK_lamB_malM	mopB	fucPIKUR	fecIR	tnaLAB	sodA	deoCABD	fepB	yhfA	glgS	acs	htrA	srlAEBD_gutM_srlR_gutQ	caiF	fur	ecfK	rpoH	mopA	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	cirA	cyaA	speC	araBAD	ansB	nagBACD	araJ	nupG	araC	ivbL_ilvBN	fnr	malS	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	pspABCDE	malT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	tsx	caiTABCDE	himA	dcuB_fumB	cytR	gntKU	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	focA_pflB	aceBAK	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	lon
ptsHI_crr	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
ompC	htpY	caiF	ecfK	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	araJ	nupG	gntKU	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	icdA	cydAB	manXYZ	appCBA	yjdHG	cpxAR	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
malEFG	gntT	mglBAC	ebgAC	araBAD	glgS	crp	speC	ivbL_ilvBN	fucAO	fucPIKUR	malK_lamB_malM	yhfA	gntKU	uhpT	melAB	cyaA	malS	tsx	uppS_cdsA_ecfE	fecIR	fepB	htrA	tnaLAB	acs	araC	sodA	mopB	srlAEBD_gutM_srlR_gutQ	ansB	deoCABD	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	himA	fnr	caiF	cytR	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	narK	nrfABCDEFG	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
lon	narK	dnaKJ	ibpAB	grpE	FruR	ptsHI_crr	icdA	cpxAR	yhfA	fucPIKUR	malK_lamB_malM	gntKU	fucAO	ivbL_ilvBN	tonB	deoR	cyoABCDE	nupG	ecfK	fur	soxS	srlAEBD_gutM_srlR_gutQ	mopB	mglBAC	uppS_cdsA_ecfE	nagBACD	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	araJ	malS	ebgAC	crp	rpoH	mopA	htpG	rpoE_rseABC	rpoD	ecfABC	ecfH	fkpA	araE	araBAD	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	nfo	cirA	cyaA	speC	clpP	araC	ansB	gltA	hypABCDE	sdhCDAB_b0725_sucABCD	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	tsx	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	pspABCDE	htpY	malI	fixABCX	tdcABCDEFG	fnr	melAB	himA	cytR	marRAB	ostA_surA_pdxA	uhpT	dmsABC	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	caiF
ompC	gntT	mglBAC	araBAD	malEFG	glgS	crp	speC	ebgAC	malT	hflB	htpG	grpE	clpP	uppS_cdsA_ecfE	mopB	malK_lamB_malM	fucPIKUR	caiF	deoCABD	fecIR	sodA	tnaLAB	yhfA	fepB	htrA	acs	araC	ansB	fnr	srlAEBD_gutM_srlR_gutQ	araJ	fur	xprB_dsbC_recJ	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	lpxDA_fabZ	ecfK	ppiA	dnaA	ptsHI_crr	cirA	cyaA	nagBACD	cytR	nupG	himA	ivbL_ilvBN	narK	pspABCDE	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	sdhCDAB_b0725_sucABCD	gntKU	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	nrfABCDEFG	caiTABCDE	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
malEFG	malT	mglBAC	ebgAC	araBAD	glgS	crp	speC	ivbL_ilvBN	fucAO	fucPIKUR	malK_lamB_malM	yhfA	gntKU	uhpT	melAB	cyaA	malS	tsx	uppS_cdsA_ecfE	fecIR	fepB	htrA	tnaLAB	acs	araC	mopB	sodA	srlAEBD_gutM_srlR_gutQ	ansB	deoCABD	ecfK	fur	himA	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	nupG	fnr	caiF	cytR	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	narK	gntT	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	nrfABCDEFG	lon
fnr	pspABCDE	arcA	appCBA	soxS	mopB	caiF	sodA	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	fepB	tnaLAB	deoCABD	ecfK	glgS	htrA	acs	ebgAC	araC	ansB	himA	fur	araJ	nupG	narK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	grpE	cydAB	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	tsx	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	rpoD	gntT	nrfABCDEFG	uhpT	focA_pflB	icdA	hflB	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
fur	cirA	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
arcA	ptsHI_crr	grpE	htpG	hflB	clpP	fixABCX	tnaLAB	fnr	cydAB	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	caiF	sodA	yhfA	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	srlAEBD_gutM_srlR_gutQ	nupG	fur	xprB_dsbC_recJ	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	ecfK	ppiA	dnaA	cirA	cyaA	speC	araBAD	nagBACD	araJ	cytR	himA	ivbL_ilvBN	narK	pspABCDE	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	sdhCDAB_b0725_sucABCD	gntT	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	tsx	gntKU	focA_pflB	uhpT	icdA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	nrfABCDEFG	melAB	tdcABCDEFG	gltA	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
himA	cyoABCDE	gltA	ppiA	nupG	tsx	pspABCDE	caiTABCDE	tnaLAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	rpoH	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	fur	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	yhfA	rpoE_rseABC	ibpAB	ecfK	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	htpG	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	cytR	mopA	caiF	ivbL_ilvBN	narK	grpE	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	gntT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	cydAB	nrfABCDEFG	gntKU	appY	uhpT	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	dcuB_fumB	malT	focA_pflB	ecfG	melAB	tdcABCDEFG	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
cpxAR	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	ecfK	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
cirA	htrA	lon	nrfABCDEFG	narK	yjdHG	rpoE_rseABC	deoCABD	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	yhfA	glgS	rpoH	acs	ebgAC	araC	ansB	fnr	himA	cytR	srlAEBD_gutM_srlR_gutQ	fur	ibpAB	mopA	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	htpG	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ecfK	nupG	caiF	uhpT	icdA	manXYZ	appCBA	ompC	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	ivbL_ilvBN
soxS	mopB	ostA_surA_pdxA	mopA	nfo	caiTABCDE	tnaLAB	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	caiF	deoCABD	ecfK	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	fepB	araJ	nupG	xprB_dsbC_recJ	rpoH	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	narK	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	tsx	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	FruR	marRAB	cyoABCDE	tonB	rpoD	gntT	nrfABCDEFG	uhpT	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
cirA	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
lon	nrfABCDEFG	narK	mopA	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	rpoH	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	fur	htpG	ppiA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	dnaA	gntKU	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	caiF	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	icdA	tsx	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	ivbL_ilvBN
melAB	cyaA	fepB	speC	araBAD	glgS	crp	malEFG	malT	mglBAC	ebgAC	gntT	mopB	uppS_cdsA_ecfE	fucPIKUR	srlAEBD_gutM_srlR_gutQ	malK_lamB_malM	caiF	fecIR	sodA	yhfA	deoCABD	htrA	acs	araC	ansB	fnr	himA	tnaLAB	ecfK	fur	narK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	nupG	cytR	ivbL_ilvBN	gntKU	pspABCDE	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	manXYZ	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	uhpT	focA_pflB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	ecfG	tsx	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	nrfABCDEFG	lon
clpP	hflB	htpG	lon	nrfABCDEFG	narK	srlAEBD_gutM_srlR_gutQ	ecfG	uppS_cdsA_ecfE	ecfK	lpxDA_fabZ	fkpA	ecfH	rpoE_rseABC	rpoD	mopA	tsx	appCBA	arcA	rpoH	cytR	sodA	caiF	manXYZ	pspABCDE	dmsABC	nagBACD	araJ	nupG	sdhCDAB_b0725_sucABCD	fur	yhfA	fucPIKUR	fepB	mopB	mglBAC	malK_lamB_malM	deoR	fecIR	grpE	tnaLAB	araBAD	speC	cyaA	cirA	nfo	soxS	tonB	cyoABCDE	ibpAB	ecfABC	marRAB	FruR	crp	araE	xprB_dsbC_recJ	ostA_surA_pdxA	ppiA	dnaA	ptsHI_crr	deoCABD	glgS	cydAB	hypABCDE	dcuB_fumB	focA_pflB	cpxAR	melAB	tdcABCDEFG	gltA	fixABCX	fucAO	htrA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	yjdHG	ompC	gntT	appY	narL	malEFG	ecfD	acs	ebgAC	araC	ansB	fnr	himA	malS	dnaKJ	gntKU	uhpT	icdA	malI	htpY	fhuACDB	frdABCD	ivbL_ilvBN
tnaLAB	fixABCX	deoCABD	lon	nrfABCDEFG	narK	ibpAB	srlAEBD_gutM_srlR_gutQ	mopB	mglBAC	malK_lamB_malM	htpG	uppS_cdsA_ecfE	fecIR	sodA	mopA	rpoH	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fucPIKUR	yhfA	ecfABC	rpoE_rseABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	gntKU	fur	ecfK	caiF	uhpT	icdA	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	cydAB	gntT	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	tsx	melAB	tdcABCDEFG	gltA	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	ivbL_ilvBN
fnr	cydAB	FruR	icdA	himA	ompC	cirA	dmsABC	fecIR	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	tnaLAB	sodA	ecfK	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fur	caiF	nupG	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	araJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	cytR	nagBACD	ivbL_ilvBN	narK	grpE	gntT	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	nrfABCDEFG	pspABCDE	sdhCDAB_b0725_sucABCD	ostA_surA_pdxA	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	tsx	malT	gntKU	dcuB_fumB	uhpT	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	caiTABCDE	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
appY	araC	cirA	caiF	tnaLAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	fepB	deoCABD	fur	glgS	htrA	acs	ebgAC	ansB	fnr	himA	cytR	yhfA	ecfK	gntKU	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ivbL_ilvBN	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	icdA	tsx	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
fecIR	pspABCDE	deoCABD	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	sodA	tnaLAB	caiF	ecfK	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
htpY	araJ	caiF	ecfK	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	nagBACD	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
pspABCDE	lon	nrfABCDEFG	narK	focA_pflB	araC	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	ansB	tnaLAB	himA	fnr	deoCABD	fepB	glgS	htrA	acs	ebgAC	sodA	nupG	ecfK	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	caiF	gntKU	uhpT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	ivbL_ilvBN
